date,year,season,companyCode,companyName,genre,EPS,shareValue,revenue,netIncome,comprehensiveIcome,IncomeAfterTax
"1120101","111","3","2548","華固建設股份有限公司","建材營造","10.90","新台幣                 10.0000元","14469218.00","3756998.00","16026.00","3020676.00"
"1120101","111","3","2597","潤弘精密工程事業股份有限公司","建材營造","8.15","新台幣                 10.0000元","17614310.00","1713298.00","187703.00","1542231.00"
"1120101","111","3","2601","益航股份有限公司","貿易百貨","0.10","新台幣                 10.0000元","4824824.00","520600.00","-460465.00","-95117.00"
"1120101","111","3","2603","長榮海運股份有限公司","航運業","68.88","新台幣                 10.0000元","516257233.00","341982476.00","18971707.00","314683232.00"
"1120101","111","3","2605","新興航運股份有限公司","航運業","-0.08","新台幣                 10.0000元","2888060.00","196571.00","-196695.00","44478.00"
"1120101","111","3","2606","裕民航運股份有限公司","航運業","4.62","新台幣                 10.0000元","10951162.00","3720166.00","258816.00","3907471.00"
"1120101","111","3","2607","長榮國際儲運股份有限公司","航運業","2.79","新台幣                 10.0000元","13849970.00","2683836.00","1021874.00","3102403.00"
"1120101","111","3","2608","嘉里大榮物流股份有限公司","航運業","1.97","新台幣                 10.0000元","9568583.00","1240750.00","12051.00","1014943.00"
"1120101","111","3","2609","陽明海運股份有限公司","航運業","47.50","新台幣                 10.0000元","315964481.00","201269251.00","13450891.00","166193933.00"
"1120101","111","3","2610","中華航空股份有限公司","航運業","0.60","新台幣                 10.0000元","111783277.00","4248959.00","-407046.00","3141620.00"
"1120101","111","3","2611","志信國際股份有限公司","航運業","-1.49","新台幣                 10.0000元","606057.00","23734.00","-273570.00","-259784.00"
"1120101","111","3","2612","中國航運股份有限公司","航運業","2.84","新台幣                 10.0000元","3357522.00","745476.00","-127668.00","555801.00"
"1120101","111","3","2613","中國貨櫃運輸股份有限公司","航運業","0.86","新台幣                 10.0000元","2406038.00","283403.00","-114939.00","118643.00"
"1120101","111","3","2614","東森國際股份有限公司","其他","0.22","新台幣                 10.0000元","4399122.00","178674.00","-20342.00","95046.00"
"1120101","111","3","2615","萬海航運股份有限公司","航運業","33.18","新台幣                 10.0000元","219434560.00","113282919.00","5938198.00","93172336.00"
